#Domain	DocumentRoot	Comments	
~ Core
amadeusweb.com	amadeus	
code.amadeusweb.com	amadeusweb/code	--this site

~ Our Sites (amadeus network)
|work.amadeusweb.com	our-sites/work	
amadeusweb.site	our-sites/biz-listings	
wiseowls.life	our-sites/wiseowls	
joyfulearth.org	our-sites/joyfulearth	
|peace.yieldmore.org	our-sites/peace	
yieldmore.org	our-sites/yieldmore	

~ YM
ideas2.yieldmore.org	yieldmore/ideas2	
ideas.yieldmore.org	yieldmore/ideas	
archives.yieldmore.org	yieldmore/archives	
legacy.yieldmore.org	yieldmore/legacy	

~ Clients
avexservices.aero	businesses/avexservices	

~ Arya (symphony)
anbagam.org	symphony/anbagam	
globalconcerns.yieldmore.org	symphony/globalconcerns	
mhworld.yieldmore.org	yieldmore/mhworld	

~ People
imran.yieldmore.org	people/imran	
|ravee.yieldmore.org	people/ravee	

~ Older
cselian.com	cselian	
3d.amadeusweb.com	amadeusweb/3d	TEST
gani.co.in	businesses/gani	
ganiandsons.com	businesses/ganiandsons	

~ Archived
gdmvindia.com	businesses/gdmvindia	
healthinfoindia.com	businesses/healthinfoindia	
iscindia.net	businesses/iscindia	

